work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,Senior,Full time,Data Analyst,216200,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Analyst,144100,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Data Scientist,118416,Netherlands,No remote work,Netherlands,Medium
2022,Intermediate,Full time,Data Scientist,91503,Netherlands,No remote work,Netherlands,Medium
2022,Senior,Full time,ETL Developer,250000,United States,No remote work,United States,Medium
2022,Senior,Full time,ETL Developer,63000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,135000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,85000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,135000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,85000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Science Manager,206000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Science Manager,175100,United States,Fully remote,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,189650,United States,No remote work,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,164996,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Architect,149040,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Architect,113900,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,154000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,126000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,200000,United States,Fully remote,United States,Large
2022,Senior,Full time,Machine Learning Engineer,150000,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Engineer,195700,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,130500,United States,No remote work,United States,Medium
2022,Senior,Full time,Analytics Engineer,170000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Analytics Engineer,135000,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Data Engineer,102096,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,76572,United Kingdom,No remote work,United Kingdom,Medium
2022,Senior,Full time,Data Analyst,117000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,99450,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,200000,Puerto Rico,Fully remote,Puerto Rico,Medium
2022,Senior,Full time,Data Engineer,135000,Puerto Rico,Fully remote,Puerto Rico,Medium
2022,Senior,Full time,Machine Learning Engineer,193900,United States,No remote work,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,129300,United States,No remote work,United States,Medium
2022,Junior,Full time,Machine Learning Engineer,57429,United Kingdom,Fully remote,United Kingdom,Small
2022,Senior,Full time,Data Analyst,89334,United Kingdom,No remote work,United Kingdom,Medium
2022,Senior,Full time,Data Analyst,63810,United Kingdom,No remote work,United Kingdom,Medium
2022,Senior,Full time,Data Analyst,175000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,130000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,188100,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,139860,United States,No remote work,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,248700,United States,No remote work,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,167100,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Data Analyst,5850,India,Fully remote,India,Small
2022,Senior,Full time,Data Scientist,123400,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Scientist,88100,United States,No remote work,United States,Medium
2022,Intermediate,Full time,BI Data Analyst,51672,Germany,Fully remote,Germany,Small
2022,Senior,Full time,Data Scientist,245000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Scientist,205000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,141300,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,102100,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Architect,141300,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Architect,102100,United States,No remote work,United States,Medium
2022,Junior,Full time,Data Analyst,50000,Argentina,Fully remote,Argentina,Large
2022,Junior,Full time,Data Scientist,86121,Belgium,Fully remote,Belgium,Large
2022,Senior,Full time,Data Scientist,2439,Brazil,Fully remote,Brazil,Large
2022,Intermediate,Full time,Lead Data Scientist,63810,United Kingdom,Partially remote,United Kingdom,Small
2022,Senior,Full time,Data Architect,250000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Architect,63000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Science Manager,189500,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Science Manager,140100,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Engineer,177600,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Engineer,131300,United States,Fully remote,United States,Large
2022,Intermediate,Full time,Data Engineer,24000,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Data Engineer,24000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,250000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,63000,United States,No remote work,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,202900,United States,Fully remote,United States,Large
2022,Senior,Full time,Machine Learning Engineer,131300,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Engineer,145000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,115000,United States,Fully remote,United States,Medium
2022,Junior,Full time,Machine Learning Engineer,115000,United States,Partially remote,United States,Large
2022,Intermediate,Full time,Machine Learning Engineer,193900,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Machine Learning Engineer,129300,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Scientist,180000,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Scientist,140000,United States,Fully remote,United States,Large
2022,Intermediate,Full time,Data Analyst,216200,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Data Analyst,144100,United States,No remote work,United States,Medium
2022,Senior,Full time,Machine Learning Scientist,216000,United States,No remote work,United States,Medium
2022,Senior,Full time,Machine Learning Scientist,144000,United States,No remote work,United States,Medium
2022,Junior,Full time,Data Analyst,150000,United States,Fully remote,United States,Large
2021,Junior,Full time,Machine Learning Research Engineer,12171,India,Fully remote,India,Medium
2022,Intermediate,Full time,Data Scientist,54608,India,Fully remote,Indonesia,Large
2022,Junior,Full time,Applied Data Scientist,50000,Austria,Partially remote,Austria,Medium
2021,Senior,Full time,Cloud Data Architect,250000,United States,Partially remote,United States,Large
2022,Executive,Full time,Research Scientist,86121,Netherlands,No remote work,Netherlands,Large
2022,Intermediate,Full time,Data Scientist,136554,United Kingdom,Fully remote,United Kingdom,Medium
2022,Senior,Full time,Analytics Engineer,48000,Argentina,Fully remote,United States,Small
2022,Senior,Contract,Machine Learning Manager,900000,Albania,Fully remote,Aland Islands,Large
2022,Executive,Full time,Data Science Manager,260500,United States,No remote work,United States,Medium
2022,Executive,Full time,Data Science Manager,175100,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,210000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,100000,United States,Fully remote,United States,Medium
2022,Junior,Full time,Data Analyst,55000,United States,Fully remote,United States,Small
2022,Intermediate,Full time,Data Analyst,130000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Applied Machine Learning Scientist,79016,France,Fully remote,United Kingdom,Large
2022,Junior,Full time,Data Scientist,53287,Belgium,Partially remote,Belgium,Small
2022,Intermediate,Freelance,Applied Machine Learning Scientist,31204,India,Fully remote,India,Small
2022,Senior,Full time,Data Engineer,206699,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,99100,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Analytics Engineer,200000,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Analytics Engineer,54000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,250000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,63000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Architect,250000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Architect,63000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,250000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,63000,United States,No remote work,United States,Medium
2022,Junior,Full time,Analytics Engineer,130000,United States,Partially remote,United States,Large
2022,Senior,Full time,Data Engineer,100000,United States,No remote work,United States,Large
2022,Senior,Full time,Data Engineer,80000,United States,No remote work,United States,Large
2022,Senior,Full time,Data Scientist,160000,United States,No remote work,United States,Large
2022,Senior,Full time,Data Scientist,100000,United States,No remote work,United States,Large
2022,Senior,Full time,Data Specialist,221300,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Specialist,148700,United States,Fully remote,United States,Large
2022,Junior,Full time,Machine Learning Engineer,30000,United Kingdom,Fully remote,United Kingdom,Large
2022,Junior,Full time,Data Analyst,29065,France,Partially remote,France,Medium
2022,Intermediate,Full time,Data Engineer,94439,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,63810,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,Data Scientist,62437,Germany,Fully remote,Germany,Small
2022,Senior,Full time,Data Science Manager,249260,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Science Manager,185400,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,170000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,130000,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Data Scientist,82953,United Kingdom,Partially remote,United Kingdom,Medium
2022,Executive,Full time,3D Computer Vision Researcher,800000,St. Pierre and Miquelon,No remote work,Cuba,Medium
2022,Senior,Full time,Data Analyst,128875,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,93700,United States,Fully remote,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,180000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,100000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,136260,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,109280,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,160000,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Scientist,92000,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Engineer,200000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,160000,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Data Engineer,140382,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,108477,United Kingdom,No remote work,United Kingdom,Medium
2022,Senior,Full time,Data Analyst,117000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,99450,United States,Fully remote,United States,Medium
2022,Junior,Full time,AI Scientist,3120,India,No remote work,India,Small
2022,Junior,Full time,Data Engineer,129000,United States,Fully remote,United States,Large
2022,Junior,Full time,Data Engineer,86000,United States,Fully remote,United States,Large
2020,Junior,Full time,Data Engineer,13493,India,Fully remote,India,Large
2020,Junior,Full time,Data Engineer,13493,India,Fully remote,India,Large
2022,Senior,Full time,Data Scientist,160000,United States,No remote work,United States,Large
2022,Senior,Full time,Data Scientist,119300,United States,No remote work,United States,Large
2022,Senior,Full time,Business Data Analyst,100000,United States,Fully remote,United States,Large
2022,Intermediate,Full time,Data Scientist,25000,Turkey,Partially remote,Turkey,Medium
2022,Intermediate,Full time,Data Analyst,65691,Singapore,Partially remote,Singapore,Medium
2022,Intermediate,Full time,AI Scientist,200000,United States,Fully remote,United States,Medium
2022,Junior,Full time,Machine Learning Developer,180000,United States,Fully remote,United States,Large
2022,Intermediate,Full time,Data Scientist,153000,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Engineer,210000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,100000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,150075,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,110925,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Machine Learning Scientist,22800,Egypt,Fully remote,Egypt,Medium
2022,Senior,Full time,Data Scientist,160000,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Scientist,92000,United States,Fully remote,United States,Large
2022,Senior,Full time,Machine Learning Engineer,202900,United States,Fully remote,United States,Large
2022,Senior,Full time,Machine Learning Engineer,131300,United States,Fully remote,United States,Large
2020,Junior,Full time,Data Analyst,22809,Portugal,Fully remote,Portugal,Medium
2022,Junior,Full time,Data Analyst,15000,Indonesia,No remote work,Indonesia,Large
2022,Senior,Full time,Data Engineer,175000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,135000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Science Manager,137584,Australia,Fully remote,Australia,Large
2022,Junior,Full time,Machine Learning Engineer,83000,United States,No remote work,United States,Large
2022,Intermediate,Full time,Data Engineer,95715,United Kingdom,Fully remote,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,70191,United Kingdom,Fully remote,United Kingdom,Medium
2022,Senior,Full time,Data Scientist,186000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Scientist,148800,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Analyst,112900,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Analyst,90320,United States,No remote work,United States,Medium
2022,Senior,Full time,ML Engineer,240000,United States,No remote work,United States,Medium
2022,Senior,Full time,ML Engineer,160000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Science Manager,300000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Science Manager,200000,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Data Engineer,67282,Germany,Partially remote,Germany,Small
2022,Intermediate,Full time,AI Scientist,200000,India,Fully remote,United States,Large
2022,Intermediate,Full time,Machine Learning Engineer,121239,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,Machine Learning Engineer,95715,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,AI Scientist,120000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Analyst,112900,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,90320,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analytics Manager,145000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analytics Manager,105400,United States,Fully remote,United States,Medium
2020,Junior,Full time,Data Scientist,49268,Germany,No remote work,Germany,Small
2022,Intermediate,Full time,Data Engineer,114858,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,95715,United Kingdom,No remote work,United Kingdom,Medium
2022,Senior,Full time,Data Scientist,215300,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Scientist,158200,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Engineer,209100,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Engineer,154600,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Analyst,115934,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Analyst,81666,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,175000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,155000,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Machine Learning Engineer,86121,France,Fully remote,Germany,Medium
2022,Senior,Full time,Data Analyst,164000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Analyst,132000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Scientist,170000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,123000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,189650,United States,No remote work,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,164996,United States,No remote work,United States,Medium
2022,Intermediate,Full time,ETL Developer,53825,Greece,No remote work,Greece,Medium
2022,Intermediate,Full time,ETL Developer,53825,Greece,No remote work,Greece,Medium
2022,Executive,Full time,Lead Data Engineer,117588,Canada,Fully remote,Canada,Small
2022,Senior,Full time,Data Engineer,165400,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,132320,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Architect,208775,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Architect,147800,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,136994,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,101570,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,128875,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,93700,United States,Fully remote,United States,Medium
2022,Executive,Full time,Head of Machine Learning,78012,India,Partially remote,India,Large
2022,Junior,Full time,Machine Learning Engineer,36371,United Kingdom,Fully remote,United Kingdom,Large
2022,Senior,Full time,Data Engineer,183600,United States,Fully remote,United States,Large
2022,Senior,Full time,Data Engineer,100800,United States,Fully remote,United States,Large
2022,Intermediate,Full time,Data Analyst,51048,United Kingdom,Fully remote,United Kingdom,Medium
2022,Intermediate,Full time,Data Analyst,38286,United Kingdom,Fully remote,United Kingdom,Medium
2022,Intermediate,Full time,Data Analyst,43060,Spain,Fully remote,Spain,Medium
2022,Intermediate,Full time,Data Analyst,32295,Spain,Fully remote,Spain,Medium
2022,Intermediate,Full time,Data Engineer,86121,Spain,Fully remote,Spain,Medium
2022,Intermediate,Full time,Data Engineer,75355,Spain,Fully remote,Spain,Medium
2022,Intermediate,Full time,Data Engineer,102096,United Kingdom,Fully remote,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,89334,United Kingdom,Fully remote,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,86121,Greece,Fully remote,Greece,Medium
2022,Intermediate,Full time,Data Engineer,75355,Greece,Fully remote,Greece,Medium
2022,Senior,Full time,Machine Learning Engineer,189650,United States,No remote work,United States,Medium
2022,Senior,Full time,Machine Learning Engineer,164996,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Data Analyst,43060,Greece,Fully remote,Greece,Medium
2022,Intermediate,Full time,Data Analyst,32295,Greece,Fully remote,Greece,Medium
2022,Intermediate,Full time,Data Engineer,95715,United Kingdom,Fully remote,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,76572,United Kingdom,Fully remote,United Kingdom,Medium
2022,Senior,Full time,Data Scientist,215300,United States,No remote work,United States,Large
2022,Senior,Full time,Data Scientist,140400,United States,No remote work,United States,Large
2022,Intermediate,Full time,Data Engineer,64590,Spain,Fully remote,Spain,Medium
2022,Intermediate,Full time,Data Engineer,48443,Spain,Fully remote,Spain,Medium
2022,Senior,Full time,Data Scientist,260000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,180000,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Data Scientist,70191,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,Data Scientist,44667,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,64590,Greece,Fully remote,Greece,Medium
2022,Intermediate,Full time,Data Engineer,48443,Greece,Fully remote,Greece,Medium
2022,Intermediate,Full time,Data Engineer,76572,United Kingdom,Fully remote,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,57429,United Kingdom,Fully remote,United Kingdom,Medium
2021,Intermediate,Full time,Machine Learning Engineer,51064,Italy,Partially remote,Italy,Large
2022,Senior,Full time,Data Science Engineer,60000,Argentina,Fully remote,Mexico,Large
2022,Intermediate,Full time,Data Engineer,82900,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Data Engineer,63900,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Machine Learning Scientist,160000,United States,Fully remote,United States,Large
2022,Intermediate,Full time,Machine Learning Scientist,112300,United States,Fully remote,United States,Large
2022,Intermediate,Full time,Data Science Manager,241000,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Data Science Manager,159000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,180000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Scientist,80000,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Data Analyst,58000,United States,No remote work,United States,Small
2022,Intermediate,Full time,Data Analyst,58000,United States,No remote work,United States,Small
2022,Senior,Full time,Data Engineer,136000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,108800,United States,No remote work,United States,Medium
2022,Executive,Full time,Data Engineer,242000,United States,Fully remote,United States,Medium
2022,Executive,Full time,Data Engineer,200000,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Data Scientist,63810,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,Data Scientist,38286,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,76572,United Kingdom,No remote work,United Kingdom,Medium
2022,Intermediate,Full time,Data Engineer,51048,United Kingdom,No remote work,United Kingdom,Medium
2022,Senior,Full time,Data Scientist,165220,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,120160,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,124190,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,90320,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,181940,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,132320,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,220110,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Engineer,160080,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Scientist,180000,United States,No remote work,United States,Large
2022,Senior,Full time,Data Scientist,120000,United States,No remote work,United States,Large
2022,Intermediate,Full time,Data Analyst,126500,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Data Analyst,106260,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Analyst,116000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Analyst,99000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Analyst,155000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,120600,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Data Scientist,130000,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Data Scientist,90000,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Data Engineer,170000,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Data Engineer,150000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,102100,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,84900,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,136620,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,99360,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,114858,United Kingdom,No remote work,United Kingdom,Medium
2022,Senior,Full time,Data Scientist,102096,United Kingdom,No remote work,United Kingdom,Medium
2022,Senior,Full time,Data Scientist,146000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,123000,United States,Fully remote,United States,Medium
2022,Junior,Full time,Data Engineer,51048,United Kingdom,Fully remote,United Kingdom,Medium
2022,Junior,Full time,Data Engineer,44667,United Kingdom,Fully remote,United Kingdom,Medium
2022,Executive,Full time,Data Analyst,130000,United States,Fully remote,United States,Medium
2022,Executive,Full time,Data Analyst,110000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,170000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,135000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Science Manager,161342,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Science Manager,137141,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,167000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,123000,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,76572,United Kingdom,No remote work,United Kingdom,Medium
2022,Senior,Full time,Data Engineer,63810,United Kingdom,No remote work,United Kingdom,Medium
2022,Senior,Full time,Data Scientist,211500,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Scientist,138600,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Architect,192400,Canada,Fully remote,Canada,Medium
2022,Senior,Full time,Data Architect,90700,Canada,Fully remote,Canada,Medium
2022,Senior,Full time,Data Analyst,130000,Canada,Fully remote,Canada,Medium
2022,Senior,Full time,Data Analyst,61300,Canada,Fully remote,Canada,Medium
2022,Senior,Full time,Data Analyst,130000,Canada,Fully remote,Canada,Medium
2022,Senior,Full time,Data Analyst,61300,Canada,Fully remote,Canada,Medium
2022,Senior,Full time,Data Engineer,160000,United States,No remote work,United States,Large
2022,Senior,Full time,Data Engineer,113000,United States,No remote work,United States,Large
2022,Senior,Full time,Data Scientist,150000,United States,No remote work,United States,Medium
2022,Senior,Full time,Data Scientist,95550,United States,No remote work,United States,Medium
2022,Intermediate,Full time,Data Analyst,167000,United States,Fully remote,United States,Medium
2022,Intermediate,Full time,Data Analyst,115500,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,112900,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,90320,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,112900,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,90320,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,165400,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,132320,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,243900,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Engineer,156600,United States,Fully remote,United States,Medium
2022,Senior,Full time,Data Analyst,136600,United States,Fully remote,United States,Medium
